region,brand,collection,price,cost,quantity_sold,sales_revenue,total_cost,gross_profit,year_quarter,year
West,Jeffrey Alexander,Rae,21.05,12.77,238,5009.9,3039.26,1970.64,2015-Q1,2015
Northwest,Jeffrey Alexander,Montclair,13.59,8.23,89,1209.51,732.47,477.04,2015-Q1,2015
Central,Jeffrey Alexander,Maybeck,26.62,15.94,527,14028.74,8400.38,5628.36,2015-Q1,2015
Midwest,Jeffrey Alexander,Annadale,27.15,16.64,1202,32634.3,20001.28,12633.02,2015-Q1,2015
International,Jeffrey Alexander,Padua,11.95,7.14,22,262.9,157.08,105.82,2015-Q1,2015
West,Jeffrey Alexander,Bremen,10.71,5.91,703,7529.13,4154.73,3374.4,2015-Q1,2015
Midwest,Jeffrey Alexander,Prestige,17.68,10.89,122,2156.96,1328.58,828.38,2015-Q1,2015
West,Jeffrey Alexander,Aberdeen,24.85,14.89,615,15282.75,9157.35,6125.4,2015-Q1,2015
Central,Elements,Arcadia,5.05,3.09,332,1676.6,1025.88,650.72,2015-Q1,2015
East coast,Jeffrey Alexander,Odessa,17.05,9.38,706,12037.3,6622.28,5415.02,2015-Q1,2015
Northeast,Jeffrey Alexander,Grande,44.25,25.88,536,23718,13871.68,9846.32,2015-Q1,2015
Central,Elements,Aiden,0.7237,2.17,219,158.4903,475.23,-316.7397,2015-Q1,2015
West,Jeffrey Alexander,Aberdeen,10.15,5.97,292,2963.8,1743.24,1220.56,2015-Q1,2015
West,Jeffrey Alexander,Rochester,4.8453,9.9,881,4268.7093,8721.9,-4453.1907,2015-Q1,2015
West,Jeffrey Alexander,Tuscany,10.15,6.01,475,4821.25,2854.75,1966.5,2015-Q1,2015
Central,Elements,Slade,4.99,3.41,646,3223.54,2202.86,1020.68,2015-Q1,2015
Midwest,Jeffrey Alexander,Harlow,16.05,10.41,1106,17751.3,11513.46,6237.84,2015-Q1,2015
Central,Elements,Naples,14.05,8.65,435,6111.75,3762.75,2349,2015-Q1,2015
Northwest,Elements,Seaver,3.89,2.37,577,2244.53,1367.49,877.04,2015-Q1,2015
East coast,Jeffrey Alexander,Bremen,5.33,3.32,315,1678.95,1045.8,633.15,2015-Q1,2015
Central,Elements,Edgefield,17.85,11.5,688,12280.8,7912,4368.8,2015-Q1,2015
Central,Elements,Zachary,8.32,5.23,211,1755.52,1103.53,651.99,2015-Q1,2015
Northeast,Jeffrey Alexander,Hudson,10.6,6.09,832,8819.2,5066.88,3752.32,2015-Q1,2015
Central,Elements,Naples,8.99,6.29,931,8369.69,5855.99,2513.7,2015-Q1,2015
East coast,Jeffrey Alexander,Backplates,8.79,5.49,839,7374.81,4606.11,2768.7,2015-Q1,2015
South,Elements,Seaver,6.49,4.04,449,2914.01,1813.96,1100.05,2015-Q1,2015
West,Jeffrey Alexander,Maybeck,8.85,5.47,507,4486.95,2773.29,1713.66,2015-Q1,2015
Central,Elements,Gatsby,2.28,1.57,436,994.08,684.52,309.56,2015-Q1,2015
Northwest,Jeffrey Alexander,Chesapeake,10.6,6.11,710,7526,4338.1,3187.9,2015-Q1,2015
South,Jeffrey Alexander,Harlow,14.99,9.38,243,3642.57,2279.34,1363.23,2015-Q1,2015
Central,Elements,Luxe,5.09,3.5,580,2952.2,2030,922.2,2015-Q1,2015
Central,Elements,Florence,6.83,4.69,974,6652.42,4568.06,2084.36,2015-Q1,2015
East coast,Elements,Edgefield,9.35,5.66,24,224.4,135.84,88.56,2015-Q1,2015
East coast,Jeffrey Alexander,Duval,160,90.09,460,73600,41441.4,32158.6,2015-Q1,2015
Central,Elements,Madison,126,77.36,101,12726,7813.36,4912.64,2015-Q1,2015
West,Elements,Slade,6.58,4.59,195,1283.1,895.05,388.05,2015-Q1,2015
Midwest,Jeffrey Alexander,Bremen,15.99,8.88,955,15270.45,8480.4,6790.05,2015-Q1,2015
Central,Elements,Cypress,3.58,2.39,20,71.6,47.8,23.8,2015-Q1,2015
West,Jeffrey Alexander,Lille,22.75,14.19,31,705.25,439.89,265.36,2015-Q1,2015
West,Elements,Lindos,12.98,8.2,73,947.54,598.6,348.94,2015-Q1,2015
Central,Elements,Naples,3.63,2.27,833,3023.79,1890.91,1132.88,2015-Q1,2015
Central,Elements,Madison,3.45,2.07,336,1159.2,695.52,463.68,2015-Q1,2015
Northeast,Jeffrey Alexander,Bremen,7.13,4.42,451,3215.63,1993.42,1222.21,2015-Q1,2015
Northwest,Elements,Somerset,3.58,2.39,146,522.68,348.94,173.74,2015-Q1,2015
East coast,Jeffrey Alexander,Rae,126,74.23,209,26334,15514.07,10819.93,2015-Q1,2015
Northeast,Jeffrey Alexander,Maybeck,11.29,7.02,698,7880.42,4899.96,2980.46,2015-Q1,2015
Northeast,Jeffrey Alexander,Leyton,13.99,8.55,779,10898.21,6660.45,4237.76,2015-Q1,2015
South,Jeffrey Alexander,Milan,9.83,5.63,489,4806.87,2753.07,2053.8,2015-Q1,2015
East coast,Jeffrey Alexander,Bremen,126,77.79,494,62244,38428.26,23815.74,2015-Q1,2015
Central,Elements,Arcadia,5.05,3.35,447,2257.35,1497.45,759.9,2015-Q1,2015
East coast,Jeffrey Alexander,Zane,12.75,8.01,963,12278.25,7713.63,4564.62,2015-Q1,2015
Central,Elements,Slade,6.58,4.01,719,4731.02,2883.19,1847.83,2015-Q1,2015
Central,Elements,Asher,6.35,4.24,462,2933.7,1958.88,974.82,2015-Q1,2015
Central,Elements,Strickland,9.53,5.8,510,4860.3,2958,1902.3,2015-Q1,2015
West,Elements,Arcadia,5.05,3.39,436,2201.8,1478.04,723.76,2015-Q1,2015
Northwest,Elements,Lindos,12.98,8.08,507,6580.86,4096.56,2484.3,2015-Q1,2015
South,Jeffrey Alexander,Callie,15.79,9.58,259,4089.61,2481.22,1608.39,2015-Q1,2015
Northwest,Jeffrey Alexander,Annadale,9.68,5.6,986,9544.48,5521.6,4022.88,2015-Q1,2015
South,Jeffrey Alexander,Mirada,16.19,9.55,861,13939.59,8222.55,5717.04,2015-Q1,2015
Northwest,Jeffrey Alexander,Delmar,10.05,6.25,239,2401.95,1493.75,908.2,2015-Q1,2015
Central,Elements,Verona,5.68,3.88,848,4816.64,3290.24,1526.4,2015-Q1,2015
Midwest,Jeffrey Alexander,Tuscany,7.05,4.51,320,2256,1443.2,812.8,2015-Q1,2015
Central,Elements,Geneva,2.39,1.64,485,1159.15,795.4,363.75,2015-Q1,2015
Northeast,Jeffrey Alexander,Delgado,136.25,82.12,699,95238.75,57401.88,37836.87,2015-Q1,2015
East coast,Jeffrey Alexander,Harlow,12.89,8.37,694,8945.66,5808.78,3136.88,2015-Q1,2015
South,Jeffrey Alexander,Modena,13.53,8.45,742,10039.26,6269.9,3769.36,2015-Q1,2015
Northeast,Jeffrey Alexander,Chesapeake,10.6,6.46,263,2787.8,1698.98,1088.82,2015-Q1,2015
West,Elements,Somerset,5.35,3.21,631,3375.85,2025.51,1350.34,2015-Q1,2015
East coast,Jeffrey Alexander,Alvar,11.55,6.37,203,2344.65,1293.11,1051.54,2015-Q1,2015
West,Jeffrey Alexander,Escutcheons,1.78,1.13,82,145.96,92.66,53.3,2015-Q1,2015
Northwest,Elements,Seaver,5.98,3.61,899,5376.02,3245.39,2130.63,2015-Q1,2015
Northwest,Jeffrey Alexander,Encada,12.78,8.16,470,6006.6,3835.2,2171.4,2015-Q1,2015
Northwest,Jeffrey Alexander,Bremen,126,77.79,185,23310,14391.15,8918.85,2015-Q1,2015
East coast,Jeffrey Alexander,Lyon,8.29,4.89,285,2362.65,1393.65,969,2015-Q1,2015
Central,Elements,Strickland,6.89,4.21,776,5346.64,3266.96,2079.68,2015-Q1,2015
West,Jeffrey Alexander,Leyton,19.5,11.74,417,8131.5,4895.58,3235.92,2015-Q1,2015
Northwest,Jeffrey Alexander,Prestige,30.05,18.22,426,12801.3,7761.72,5039.58,2015-Q1,2015
South,Jeffrey Alexander,Escutcheons,1.78,1.02,410,729.8,418.2,311.6,2015-Q1,2015
West,Elements,Slade,6.58,4.41,298,1960.84,1314.18,646.66,2015-Q1,2015
Northeast,Jeffrey Alexander,Anwick,19.25,11.23,412,7931,4626.76,3304.24,2015-Q1,2015
Northeast,Jeffrey Alexander,Lyon,6.95,4.47,519,3607.05,2319.93,1287.12,2015-Q1,2015
Northwest,Jeffrey Alexander,Mirada,14.29,8.76,117,1671.93,1024.92,647.01,2015-Q1,2015
Northwest,Jeffrey Alexander,Escutcheons,1.78,0.99,454,808.12,449.46,358.66,2015-Q1,2015
South,Elements,Seaver,6.49,4.1,732,4750.68,3001.2,1749.48,2015-Q1,2015
South,Jeffrey Alexander,Hayworth,57.99,37.55,789,45754.11,29626.95,16127.16,2015-Q1,2015
West,Elements,Drake,6.1,3.97,668,4074.8,2651.96,1422.84,2015-Q1,2015
East coast,Jeffrey Alexander,Tiffany,22.11,13.4,18,397.98,241.2,156.78,2015-Q1,2015
Central,Elements,Naples,19.19,13.07,589,11302.91,7698.23,3604.68,2015-Q1,2015
South,Jeffrey Alexander,Modena,19.63,11.79,222,4357.86,2617.38,1740.48,2015-Q1,2015
South,Jeffrey Alexander,Duval,24.4,13.73,45,1098,617.85,480.15,2015-Q1,2015
Midwest,Jeffrey Alexander,Belcastel,126,72.55,500,63000,36275,26725,2015-Q1,2015
West,Jeffrey Alexander,Bremen,15.99,9.57,173,2766.27,1655.61,1110.66,2015-Q1,2015
Midwest,Elements,Zachary,4.15,2.6,792,3286.8,2059.2,1227.6,2015-Q1,2015
International,Jeffrey Alexander,Rae,57.99,34.25,838,48595.62,28701.5,19894.12,2015-Q1,2015
East coast,Jeffrey Alexander,Belcastel,7.13,4.2,739,5269.07,3103.8,2165.27,2015-Q1,2015
Northeast,Jeffrey Alexander,Lyon,8.29,5.28,193,1599.97,1019.04,580.93,2015-Q1,2015
International,Jeffrey Alexander,Alvar,13.83,8.13,789,10911.87,6414.57,4497.3,2015-Q1,2015
South,Jeffrey Alexander,Milan,8.71,4.79,804,7002.84,3851.16,3151.68,2015-Q1,2015
Central,Elements,Stanton,10.25,6.97,435,4458.75,3031.95,1426.8,2015-Q1,2015
West,Elements,Brenton,8.05,4.95,651,5240.55,3222.45,2018.1,2015-Q1,2015
East coast,Jeffrey Alexander,Delmar,150.75,93.75,904,136278,84750,51528,2015-Q1,2015
West,Jeffrey Alexander,Modena,19.63,11.43,434,8519.42,4960.62,3558.8,2015-Q1,2015
Central,Elements,Geneva,5.2,3.52,628,3265.6,2210.56,1055.04,2015-Q1,2015
Central,Jeffrey Alexander,Leyton,16.59,9.97,57,945.63,568.29,377.34,2015-Q1,2015
South,Jeffrey Alexander,Tiffany,10.71,6.01,289,3095.19,1736.89,1358.3,2015-Q1,2015
Central,Elements,Somerset,5.35,3.39,228,1219.8,772.92,446.88,2015-Q1,2015
East coast,Jeffrey Alexander,Lafayette,14.99,9.37,348,5216.52,3260.76,1955.76,2015-Q1,2015
Central,Elements,Kingsport,2.67,1.61,971,2592.57,1563.31,1029.26,2015-Q1,2015
Central,Elements,Cypress,3.19,1.92,627,2000.13,1203.84,796.29,2015-Q1,2015
Midwest,Elements,Cosgrove,9.83,6.43,1227,12061.41,7889.61,4171.8,2015-Q1,2015
Northwest,Jeffrey Alexander,Delgado,9.89,5.69,938,9276.82,5337.22,3939.6,2015-Q1,2015
South,Elements,Slade,7.55,4.66,399,3012.45,1859.34,1153.11,2015-Q1,2015
South,Jeffrey Alexander,Hudson,13.83,8.69,306,4231.98,2659.14,1572.84,2015-Q1,2015
West,Elements,Calloway,6.55,4.17,580,3799,2418.6,1380.4,2015-Q1,2015
Central,Elements,Calloway,3.79,2.39,970,3676.3,2318.3,1358,2015-Q1,2015
East coast,Jeffrey Alexander,Prestige,167.5,93.97,886,148405,83257.42,65147.58,2015-Q1,2015
Northwest,Jeffrey Alexander,Milan,13.39,7.5,416,5570.24,3120,2450.24,2015-Q1,2015
East coast,Elements,Gatsby,2.15,1.37,863,1855.45,1182.31,673.14,2015-Q1,2015
Northwest,Jeffrey Alexander,Leyton,19.5,11.74,951,18544.5,11164.74,7379.76,2015-Q1,2015
West,Elements,Seaver,6.49,3.94,231,1499.19,910.14,589.05,2015-Q1,2015
Northwest,Jeffrey Alexander,Hayworth,21.58,12.23,61,1316.38,746.03,570.35,2015-Q1,2015
Northeast,Elements,Brenton,10.35,6.32,168,1738.8,1061.76,677.04,2015-Q1,2015
Northwest,Jeffrey Alexander,Maybeck,9.99,5.62,583,5824.17,3276.46,2547.71,2015-Q1,2015
South,Jeffrey Alexander,Bremen,15.99,8.88,441,7051.59,3916.08,3135.51,2015-Q1,2015
West,Elements,Asher,6.35,3.87,42,266.7,162.54,104.16,2015-Q1,2015
South,Jeffrey Alexander,Regan,6.35,3.57,257,1631.95,917.49,714.46,2015-Q1,2015
Central,Elements,Strickland,9.53,6,493,4698.29,2958,1740.29,2015-Q1,2015
Midwest,Jeffrey Alexander,Harlow,23.39,14.79,600,14034,8874,5160,2015-Q1,2015
Central,Elements,Arcadia,5.05,3.51,309,1560.45,1084.59,475.86,2015-Q1,2015
Midwest,Elements,Aiden,0.7237,2.14,188,136.0556,402.32,-266.2644,2015-Q1,2015
Midwest,Elements,Park,6.35,4.08,1192,7569.2,4863.36,2705.84,2015-Q1,2015
Central,Elements,Capri,11.43,6.86,66,754.38,452.76,301.62,2015-Q1,2015
West,Jeffrey Alexander,Ella,8.38,4.96,163,1365.94,808.48,557.46,2015-Q1,2015
West,Jeffrey Alexander,Regency,7.13,4.61,325,2317.25,1498.25,819,2015-Q1,2015
Central,Elements,Arcadia,5.05,3.48,63,318.15,219.24,98.91,2015-Q1,2015
West,Jeffrey Alexander,Bella,11.39,6.98,703,8007.17,4906.94,3100.23,2015-Q1,2015
Central,Jeffrey Alexander,Bremen,10.71,5.91,782,8375.22,4621.62,3753.6,2015-Q1,2015
South,Jeffrey Alexander,Rochester,3.9162,8.83,254,994.7148,2242.82,-1248.1052,2015-Q1,2015
East coast,Jeffrey Alexander,Glenmore,12.27,7.2,745,9141.15,5364,3777.15,2015-Q1,2015
West,Jeffrey Alexander,Mirada,16.19,10.4,242,3917.98,2516.8,1401.18,2015-Q1,2015
Central,Elements,Asher,8.55,5.94,285,2436.75,1692.9,743.85,2015-Q1,2015
Northeast,Jeffrey Alexander,Marlo,6.58,4.16,578,3803.24,2404.48,1398.76,2015-Q1,2015
Northwest,Jeffrey Alexander,Delgado,167.5,107.62,128,21440,13775.36,7664.64,2015-Q1,2015
West,Jeffrey Alexander,Belcastel,11.65,6.69,553,6442.45,3699.57,2742.88,2015-Q1,2015
Central,Jeffrey Alexander,Backplates,8.79,4.84,610,5361.9,2952.4,2409.5,2015-Q1,2015
West,Jeffrey Alexander,Leyton,13.99,8.75,321,4490.79,2808.75,1682.04,2015-Q1,2015
West,Jeffrey Alexander,Duval,16.11,9.02,824,13274.64,7432.48,5842.16,2015-Q1,2015
Central,Elements,Geneva,5.2,3.19,378,1965.6,1205.82,759.78,2015-Q1,2015
Northeast,Jeffrey Alexander,Tiffany,18.1,10.41,184,3330.4,1915.44,1414.96,2015-Q1,2015
Northeast,Jeffrey Alexander,Encada,11.83,6.7,87,1029.21,582.9,446.31,2015-Q1,2015
Central,Jeffrey Alexander,Ella,14.39,8.54,264,3798.96,2254.56,1544.4,2015-Q1,2015
Central,Elements,Vienna,3.19,2.03,558,1780.02,1132.74,647.28,2015-Q1,2015
Northeast,Elements,Vienna,3.58,2.15,285,1020.3,612.75,407.55,2015-Q1,2015
West,Elements,Gatsby,3.58,2.28,415,1485.7,946.2,539.5,2015-Q1,2015
South,Jeffrey Alexander,Bremen,15.99,9.92,423,6763.77,4196.16,2567.61,2015-Q1,2015
Northeast,Jeffrey Alexander,Harlow,12.89,8.03,546,7037.94,4384.38,2653.56,2015-Q1,2015
Northwest,Jeffrey Alexander,Bella,17.68,9.93,589,10413.52,5848.77,4564.75,2015-Q1,2015
East coast,Jeffrey Alexander,Lyon,8.29,4.68,137,1135.73,641.16,494.57,2015-Q1,2015
Northwest,Jeffrey Alexander,Symphony,11.24,6.48,545,6125.8,3531.6,2594.2,2015-Q1,2015
East coast,Jeffrey Alexander,Sutton,14.89,8.37,839,12492.71,7022.43,5470.28,2015-Q1,2015
South,Jeffrey Alexander,Lexa,24.85,14.24,287,7131.95,4086.88,3045.07,2015-Q1,2015
Central,Elements,Gatsby,2.67,1.65,160,427.2,264,163.2,2015-Q1,2015
East coast,Jeffrey Alexander,Lenoir,6.2,3.94,669,4147.8,2635.86,1511.94,2015-Q1,2015
Central,Elements,Drake,5.15,3.47,644,3316.6,2234.68,1081.92,2015-Q1,2015
Northeast,Elements,Hammond,3.73,2.43,239,891.47,580.77,310.7,2015-Q1,2015
Northwest,Jeffrey Alexander,Lexa,9.31,5.51,118,1098.58,650.18,448.4,2015-Q1,2015
Midwest,Jeffrey Alexander,Valencia,9.68,5.66,307,2971.76,1737.62,1234.14,2015-Q1,2015
Central,Jeffrey Alexander,Glenmore,12.27,7.22,232,2846.64,1675.04,1171.6,2015-Q1,2015
Central,Elements,Edgefield,5.39,3.48,278,1498.42,967.44,530.98,2015-Q1,2015
West,Jeffrey Alexander,Aberdeen,10.15,6.3,576,5846.4,3628.8,2217.6,2015-Q1,2015
West,Jeffrey Alexander,Sutton,14.89,9.61,343,5107.27,3296.23,1811.04,2015-Q1,2015
Central,Jeffrey Alexander,Rhodes,5.25,2.98,283,1485.75,843.34,642.41,2015-Q1,2015
Central,Jeffrey Alexander,Tuscany,7.05,4.55,355,2502.75,1615.25,887.5,2015-Q1,2015
South,Jeffrey Alexander,Aberdeen,20.15,12.74,846,17046.9,10778.04,6268.86,2015-Q1,2015
South,Jeffrey Alexander,Glenmore,126,69.64,283,35658,19708.12,15949.88,2015-Q1,2015
Central,Elements,Geneva,4.55,3.07,882,4013.1,2707.74,1305.36,2015-Q1,2015
West,Jeffrey Alexander,Harlow,16.05,9.69,429,6885.45,4157.01,2728.44,2015-Q1,2015
East coast,Elements,Madison,126,78.24,226,28476,17682.24,10793.76,2015-Q1,2015
Northwest,Elements,Madison,3.89,2.38,532,2069.48,1266.16,803.32,2015-Q1,2015
Central,Jeffrey Alexander,Hudson,6.95,4.25,870,6046.5,3697.5,2349,2015-Q1,2015
South,Elements,Slade,4.99,3.32,106,528.94,351.92,177.02,2015-Q1,2015
Northeast,Elements,Asher,8.55,5.94,481,4112.55,2857.14,1255.41,2015-Q1,2015
Midwest,Elements,Madison,3.89,2.54,529,2057.81,1343.66,714.15,2015-Q1,2015
Central,Elements,Westbury,4.65,3.08,35,162.75,107.8,54.95,2015-Q1,2015
South,Elements,Arcadia,5.05,3.51,743,3752.15,2607.93,1144.22,2015-Q1,2015
Central,Elements,Torino,2.52,1.73,286,720.72,494.78,225.94,2015-Q1,2015
Central,Elements,Asher,7.58,5.1,93,704.94,474.3,230.64,2015-Q1,2015
South,Jeffrey Alexander,Duval,160,90.09,197,31520,17747.73,13772.27,2015-Q1,2015
Central,Jeffrey Alexander,Delmar,15.85,9.04,274,4342.9,2476.96,1865.94,2015-Q1,2015
East coast,Jeffrey Alexander,Encada,12.78,8.22,838,10709.64,6888.36,3821.28,2015-Q1,2015
Central,Elements,Brenton,8.05,5.26,468,3767.4,2461.68,1305.72,2015-Q1,2015
South,Jeffrey Alexander,Delmar,10.05,6.25,77,773.85,481.25,292.6,2015-Q1,2015
Central,Elements,Palisade,3.43,2.18,199,682.57,433.82,248.75,2015-Q1,2015
Northwest,Jeffrey Alexander,Annadale,28.25,18.13,208,5876,3771.04,2104.96,2015-Q1,2015
Midwest,Jeffrey Alexander,Rhodes,5.93,3.73,808,4791.44,3013.84,1777.6,2015-Q1,2015
Central,Jeffrey Alexander,Leyton,16.59,9.44,212,3517.08,2001.28,1515.8,2015-Q1,2015
Central,Elements,Lindos,12.98,8.29,891,11565.18,7386.39,4178.79,2015-Q1,2015
Central,Elements,Torino,5.25,3.32,510,2677.5,1693.2,984.3,2015-Q1,2015
Central,Elements,Gatsby,3.23,2.18,44,142.12,95.92,46.2,2015-Q1,2015
Central,Elements,Naples,15.25,9.49,640,9760,6073.6,3686.4,2015-Q1,2015
East coast,Jeffrey Alexander,Prestige,30.05,18.22,794,23859.7,14466.68,9393.02,2015-Q1,2015
Northeast,Jeffrey Alexander,Ella,14.39,8.08,301,4331.39,2432.08,1899.31,2015-Q1,2015
Central,Elements,Stanton,13.35,9.17,783,10453.05,7180.11,3272.94,2015-Q1,2015
Northwest,Jeffrey Alexander,Belcastel,14.05,8.8,807,11338.35,7101.6,4236.75,2015-Q1,2015
South,Elements,Cypress,2.5,1.59,901,2252.5,1432.59,819.91,2015-Q1,2015
West,Elements,Slade,6.58,4.41,674,4434.92,2972.34,1462.58,2015-Q1,2015
East coast,Jeffrey Alexander,Hayworth,21.58,12.23,428,9236.24,5234.44,4001.8,2015-Q1,2015
West,Jeffrey Alexander,Marlo,8.05,5.02,137,1102.85,687.74,415.11,2015-Q1,2015
West,Jeffrey Alexander,Odessa,13.31,7.52,782,10408.42,5880.64,4527.78,2015-Q1,2015
South,Jeffrey Alexander,Lexa,15.85,9.8,898,14233.3,8800.4,5432.9,2015-Q1,2015
West,Jeffrey Alexander,Bremen,12.45,7.48,937,11665.65,7008.76,4656.89,2015-Q1,2015
Central,Jeffrey Alexander,Mirada,16.19,8.99,731,11834.89,6571.69,5263.2,2015-Q1,2015
Central,Elements,Aiden,1.4229,4.12,872,1240.7688,3592.64,-2351.8712,2015-Q1,2015
Northeast,Jeffrey Alexander,Prestige,17.68,10.85,682,12057.76,7399.7,4658.06,2015-Q1,2015
West,Jeffrey Alexander,Zane,57.99,33.11,49,2841.51,1622.39,1219.12,2015-Q1,2015
East coast,Jeffrey Alexander,Belcastel,10.71,6.05,244,2613.24,1476.2,1137.04,2015-Q1,2015
East coast,Jeffrey Alexander,Regan,5.39,3.32,433,2333.87,1437.56,896.31,2015-Q1,2015
Central,Elements,Watervale,2.99,2.06,651,1946.49,1341.06,605.43,2015-Q1,2015
Northwest,Elements,Gatsby,3.23,2.09,449,1450.27,938.41,511.86,2015-Q1,2015
Central,Jeffrey Alexander,Delgado,29.49,17.53,630,18578.7,11043.9,7534.8,2015-Q1,2015
East coast,Jeffrey Alexander,Glenmore,15.79,8.93,316,4989.64,2821.88,2167.76,2015-Q1,2015
Midwest,Elements,Gatsby,2.67,1.65,17,45.39,28.05,17.34,2015-Q1,2015
Midwest,Jeffrey Alexander,Marlo,13.99,7.97,1168,16340.32,9308.96,7031.36,2015-Q1,2015
Central,Elements,Strickland,6.89,4.53,958,6600.62,4339.74,2260.88,2015-Q1,2015
Northwest,Elements,Sedona,6.75,4.34,13,87.75,56.42,31.33,2015-Q1,2015
Northeast,Jeffrey Alexander,Rae,24.5,14.97,313,7668.5,4685.61,2982.89,2015-Q1,2015
South,Jeffrey Alexander,Encada,12.78,7.92,283,3616.74,2241.36,1375.38,2015-Q1,2015
South,Jeffrey Alexander,Rae,126,79.63,706,88956,56218.78,32737.22,2015-Q1,2015
South,Jeffrey Alexander,Delmar,15.85,9.84,930,14740.5,9151.2,5589.3,2015-Q1,2015
Midwest,Jeffrey Alexander,Chesapeake,10.6,6.87,329,3487.4,2260.23,1227.17,2015-Q1,2015
West,Elements,Florence,6.83,4.29,451,3080.33,1934.79,1145.54,2015-Q1,2015
East coast,Jeffrey Alexander,Valencia,8.65,5.25,257,2223.05,1349.25,873.8,2015-Q1,2015
East coast,Jeffrey Alexander,Evangeline,13.31,7.52,216,2874.96,1624.32,1250.64,2015-Q1,2015
Midwest,Jeffrey Alexander,Chesapeake,8.45,5.29,1227,10368.15,6490.83,3877.32,2015-Q1,2015
West,Jeffrey Alexander,Kensington,13.53,8.15,200,2706,1630,1076,2015-Q1,2015
Northeast,Jeffrey Alexander,Amsden,19.86,10.92,639,12690.54,6977.88,5712.66,2015-Q1,2015
West,Elements,Gatsby,2.67,1.66,24,64.08,39.84,24.24,2015-Q1,2015
Central,Elements,Gatsby,3.53,2.33,361,1274.33,841.13,433.2,2015-Q1,2015
West,Jeffrey Alexander,Cairo,7.35,4.22,432,3175.2,1823.04,1352.16,2015-Q1,2015
South,Jeffrey Alexander,Delmar,10.05,6.2,580,5829,3596,2233,2015-Q1,2015
East coast,Jeffrey Alexander,Ella,14.39,7.96,35,503.65,278.6,225.05,2015-Q1,2015
Northeast,Jeffrey Alexander,Milan,16.98,10.68,876,14874.48,9355.68,5518.8,2015-Q1,2015
East coast,Elements,Slade,5.68,3.82,520,2953.6,1986.4,967.2,2015-Q1,2015
West,Jeffrey Alexander,Tahoe,21.99,13.96,124,2726.76,1731.04,995.72,2015-Q1,2015
Central,Jeffrey Alexander,Delmar,150.75,87.56,110,16582.5,9631.6,6950.9,2015-Q1,2015
Northeast,Jeffrey Alexander,Cairo,8.85,5.09,46,407.1,234.14,172.96,2015-Q1,2015
Central,Jeffrey Alexander,Lafayette,146.5,90.44,101,14796.5,9134.44,5662.06,2015-Q1,2015
